path,role,rows,columns,sha256,column_names
data/external/sentences_dataset_45269.csv,source dataset,45268,3,41b5a6dc2c4fd943f10ad5f50496692e968f4cd9a9dfcbce19b3188b8fb82c78,sentence | is_citation | polarity
data/processed/Final_Master_results_with_features.csv,processed/intermediate dataset,5661,39,e6b2c63990d903f5212ab93ef0ec46dbb678e0b9ef8e0caa6c24ec5dee69be39,sentence | is_citation | Multi_Citation_Flag | is_narrative | ground_truth | BART_pred | T5_pred | SciBERT_pred | RoBERTa_pred | DeepSeek_pred | LLaMA3_pred | BART_is_correct | T5_is_correct | SciBERT_is_correct | RoBERTa_is_correct | DeepSeek_is_correct | LLaMA3_is_correct | Citation_Relative_Position | Sentence_Length | Negation_Count | Semantic_Depth | BART_shap_pos | BART_shap_keyword_token | BART_shap_pos_abs_dist | T5_shap_pos | T5_shap_keyword_token | T5_shap_pos_abs_dist | SCIBERT_shap_pos | SCIBERT_shap_keyword_token | SCIBERT_shap_pos_abs_dist | ROBERTA_shap_pos | ROBERTA_shap_keyword_token | ROBERTA_shap_pos_abs_dist | DEEPSEEK_shap_pos | DEEPSEEK_shap_keyword_token | DEEPSEEK_shap_pos_abs_dist | LLAMA3_shap_pos | LLAMA3_shap_keyword_token | LLAMA3_shap_pos_abs_dist
data/processed/Hyperparameters.csv,processed/intermediate dataset,6,23,82679d364cb028ff92b57197f418dc3074d3f7e1b76d274247a43fb70d28a5c6,Unnamed: 0 | MODEL | ARCHITECTURE | BATCH SIZE | TRAINING TIME | WARMUP STEPS | WARMUP RATIO | LR | MAX LENGTH | SEED | EPOCHS USER INPUT | BEST EPOCH  | PATIENCE | WEIGHT DECAY | LOGGING STEPS | GRADIENT ACCUMULATION STEPS | MAX GRAD NORM | PRECISION | RECALL | MACRO-F1 | ACCURACY | PRODUCED | GPU TYPE
data/processed/Master_results.csv,processed/intermediate dataset,5661,21,9cac90440beb525258d73d5f181bf6c7c32be992681b62e3d72fbbc6495df9f8,sentence | is_citation | Multi_Citation_Flag | is_narrative | ground_truth | BART_pred | T5_pred | SciBERT_pred | RoBERTa_pred | DeepSeek_pred | LLaMA3_pred | BART_is_correct | T5_is_correct | SciBERT_is_correct | RoBERTa_is_correct | DeepSeek_is_correct | LLaMA3_is_correct | Citation_Relative_Position | Sentence_Length | Negation_Count | Semantic_Depth
data/processed/Master_results_with_features.csv,processed/intermediate dataset,5661,21,9cac90440beb525258d73d5f181bf6c7c32be992681b62e3d72fbbc6495df9f8,sentence | is_citation | Multi_Citation_Flag | is_narrative | ground_truth | BART_pred | T5_pred | SciBERT_pred | RoBERTa_pred | DeepSeek_pred | LLaMA3_pred | BART_is_correct | T5_is_correct | SciBERT_is_correct | RoBERTa_is_correct | DeepSeek_is_correct | LLaMA3_is_correct | Citation_Relative_Position | Sentence_Length | Negation_Count | Semantic_Depth
data/processed/Step3_Final_Dataset_with_HI_Scores.csv,processed/intermediate dataset,2156,52,5b8fc19f6495e51149db30aded40735d8998eb9a594246610e1b3707a72c44f4,sentence | is_citation | Multi_Citation_Flag | is_narrative | ground_truth | BART_pred | T5_pred | SciBERT_pred | RoBERTa_pred | DeepSeek_pred | LLaMA3_pred | BART_is_correct | T5_is_correct | SciBERT_is_correct | RoBERTa_is_correct | DeepSeek_is_correct | LLaMA3_is_correct | Citation_Relative_Position | Sentence_Length | Negation_Count | Semantic_Depth | BART_shap_pos | BART_shap_keyword_token | BART_shap_pos_abs_dist | T5_shap_pos | T5_shap_keyword_token | T5_shap_pos_abs_dist | SCIBERT_shap_pos | SCIBERT_shap_keyword_token | SCIBERT_shap_pos_abs_dist | ROBERTA_shap_pos | ROBERTA_shap_keyword_token | ROBERTA_shap_pos_abs_dist | DEEPSEEK_shap_pos | DEEPSEEK_shap_keyword_token | DEEPSEEK_shap_pos_abs_dist | LLAMA3_shap_pos | LLAMA3_shap_keyword_token | LLAMA3_shap_pos_abs_dist | BART_is_error | T5_is_error | SciBERT_is_error | RoBERTa_is_error | DeepSeek_is_error | LLaMA3_is_error | Negation_Norm | BART_HI_Score | T5_HI_Score | SciBERT_HI_Score | RoBERTa_HI_Score | DeepSeek_HI_Score | LLaMA3_HI_Score
data/processed/dataset_with_HPI_global_sentence_level.csv,processed/intermediate dataset,2156,54,b620c02948631d62d64703273f4193cf6bfbe746b199db0cdcf7cc2e5283775f,sentence | is_citation | Multi_Citation_Flag | is_narrative | ground_truth | BART_pred | T5_pred | SciBERT_pred | RoBERTa_pred | DeepSeek_pred | LLaMA3_pred | BART_is_correct | T5_is_correct | SciBERT_is_correct | RoBERTa_is_correct | DeepSeek_is_correct | LLaMA3_is_correct | Citation_Relative_Position | Sentence_Length | Negation_Count | Semantic_Depth | BART_shap_pos | BART_shap_keyword_token | BART_shap_pos_abs_dist | T5_shap_pos | T5_shap_keyword_token | T5_shap_pos_abs_dist | SCIBERT_shap_pos | SCIBERT_shap_keyword_token | SCIBERT_shap_pos_abs_dist | ROBERTA_shap_pos | ROBERTA_shap_keyword_token | ROBERTA_shap_pos_abs_dist | DEEPSEEK_shap_pos | DEEPSEEK_shap_keyword_token | DEEPSEEK_shap_pos_abs_dist | LLAMA3_shap_pos | LLAMA3_shap_keyword_token | LLAMA3_shap_pos_abs_dist | BART_is_error | T5_is_error | SciBERT_is_error | RoBERTa_is_error | DeepSeek_is_error | LLaMA3_is_error | Negation_Norm | BART_HI_Score | T5_HI_Score | SciBERT_HI_Score | RoBERTa_HI_Score | DeepSeek_HI_Score | LLaMA3_HI_Score | Global_Gap | HPI_global
data/processed/dataset_with_HPI_global_sentence_level_only_real_citations.csv,processed/intermediate dataset,1128,54,373a1d96ee1746c27123b659217b1f690a9b730e87306ef1f5dddd43a5824662,sentence | is_citation | Multi_Citation_Flag | is_narrative | ground_truth | BART_pred | T5_pred | SciBERT_pred | RoBERTa_pred | DeepSeek_pred | LLaMA3_pred | BART_is_correct | T5_is_correct | SciBERT_is_correct | RoBERTa_is_correct | DeepSeek_is_correct | LLaMA3_is_correct | Citation_Relative_Position | Sentence_Length | Negation_Count | Semantic_Depth | BART_shap_pos | BART_shap_keyword_token | BART_shap_pos_abs_dist | T5_shap_pos | T5_shap_keyword_token | T5_shap_pos_abs_dist | SCIBERT_shap_pos | SCIBERT_shap_keyword_token | SCIBERT_shap_pos_abs_dist | ROBERTA_shap_pos | ROBERTA_shap_keyword_token | ROBERTA_shap_pos_abs_dist | DEEPSEEK_shap_pos | DEEPSEEK_shap_keyword_token | DEEPSEEK_shap_pos_abs_dist | LLAMA3_shap_pos | LLAMA3_shap_keyword_token | LLAMA3_shap_pos_abs_dist | BART_is_error | T5_is_error | SciBERT_is_error | RoBERTa_is_error | DeepSeek_is_error | LLaMA3_is_error | Negation_Norm | BART_HI_Score | T5_HI_Score | SciBERT_HI_Score | RoBERTa_HI_Score | DeepSeek_HI_Score | LLaMA3_HI_Score | Global_Gap | HPI_global
data/processed/logs/loss_ALBERT.csv,training log,5,3,9626db70152e0e7d29263e2f9321954e63afa03bbe589fdbde174fb204bb8ffe,epoch | train_loss | val_loss
data/processed/logs/loss_BERT.csv,training log,5,3,6a19242b9ea938d1af53ffb63e51b6cd8ba914f1c32b4604ac8ab0e8908d3af3,epoch | train_loss | val_loss
